model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV1,correct_CV1,total_CV1,accuracy_CV2,correct_CV2,total_CV2,accuracy_CV3,correct_CV3,total_CV3,accuracy_FA1,correct_FA1,total_FA1,accuracy_FA2,correct_FA2,total_FA2,accuracy_I1,correct_I1,total_I1,accuracy_I2,correct_I2,total_I2,accuracy_MA2,correct_MA2,total_MA2,accuracy_MA3,correct_MA3,total_MA3,accuracy_RG1,correct_RG1,total_RG1,accuracy_RG2,correct_RG2,total_RG2,accuracy_RG3,correct_RG3,total_RG3,accuracy_RL1,correct_RL1,total_RL1,accuracy_RL3,correct_RL3,total_RL3,accuracy_RL4,correct_RL4,total_RL4,accuracy_V1,correct_V1,total_V1,accuracy_V2,correct_V2,total_V2,accuracy_V3,correct_V3,total_V3,accuracy_V4,correct_V4,total_V4,accuracy_V5,correct_V5,total_V5,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,9.628822162426614,506067.87953676813,0.0002556129476594107,0.005639475952030871
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,7.644046790912427,211215.79083778686,0.008086393872586464,0.014147831869846167
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.415060084393346,293017.365169873,0.0010416173297362575,0.007983828376180916
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,7.94409323018591,264326.1391389865,0.0019542052935996894,0.008984198158696444
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,textfrct,True,,False,0.006493506493506494,4,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.08333333333333333,4,48,0.0,0,36,0.0,0,36,8.531118135396282,240895.83703429275,0.003199995066245372,0.009871952130714838
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.081907029721135,247379.3755782323,0.0029899982359055436,0.009299959821210624
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.152482781158268,222587.61495423387,0.0025947734409291308,0.009320981546856798
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.376124671294031,235637.9942477996,0.0019118196627027177,0.00881965689096469
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,7.238965417074364,299790.8798572202,0.013235403549983529,0.02065993663106183
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,7.83842477219912,238192.53974803098,0.005864798443309229,0.012929824676880228
